CAS Reg No (or other ID),Substance,Other Names,Used for (Technical Effect),Reg col01,Reg col02,Reg col03,Reg col04,Reg col05,Reg col06,Reg add01,Reg add02,Reg add03,Reg add04,Reg add05,Reg add06,Reg add07,Reg add08,Reg add09,Reg add10,Reg add11,Reg add12,Reg add13,Reg add14,Reg add16,Reg add17,Reg add18,Reg add19,Reg add20,Reg prohibited189,Reg Administrative,regs Labeling & Standards ,FEMA No,GRAS Pub No,Most Recent GRAS Pub Update,FEMA status,JECFA Flavor Number
 57-06-7, ALLYL ISOTHIOCYANATE," &diams; ALLYL ISOTHIOCYANATE<br />&diams; MUSTARD OIL, VOLATILE<br />&diams; ALLYL MUSTARD OIL<br />&diams; ALLYL ISOSULFOCYANATE<br />&diams; ALLYL THIOCARBONIMIDE<br />&diams; 2-PROPENYL ISOTHIOCYANATE<br />&diams; MUSTARD OIL, VOLATILE, SYNTHETIC<br />&diams; 3-ISOTHIOCYANATO-1-PROPENE<br />&diams; SYNTHETIC MUSTARD OIL<br />&diams; 1-PROPENE, 3-ISOTHIOCYANATO-<br />&diams; ISOTHIOCYANIC ACID, ALLYL ESTER<br />&diams; ALLYL THIOISOCYANATE", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2034,3,,,1560
 109-05-7, 2-METHYLPIPERIDINE," &diams; 2-METHYLPIPERIDINE<br />&diams; piperidine, 2-methyl-<br />&diams; alpha-pipecoline<br />&diams; alpha-methylpiperidine<br />&diams; 2-pipecoline", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4244,22,,,1608
 107-15-3, ETHYLENEDIAMINE," &diams; ETHYLENEDIAMINE<br />&diams; 1,2-ETHANEDIAMINE<br />&diams; 1,2-DIAMINOETHANE", TRACER,,,,,,,173.32,175.105,175.3,175.32,176.18,178.101,178.312,181.3,,,,,,,,,,,,,,,,,,,
 110-85-0, PIPERAZINE," &diams; PIPERAZINE<br />&diams; DIETHYLENEDIAMINE<br />&diams; PIPERAZINE, ANHYDROUS<br />&diams; HEXAHYDROPYRAZINE<br />&diams; PIPERAZIDINE<br />&diams; InChI=1S/C4H10N2/c1-2-6-4-3-5-1/h5-6H,1-4H2<br />&diams; InChIKey: GLUUGHFHXGJENI-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT,,,,,,,175.105,175.32,177.255,,,,,,,,,,,,,,,,,,,,4250,22,,,1615
 621-82-9, CINNAMIC ACID," &diams; CINNAMIC ACID<br />&diams; 3-PHENYLPROPENOIC ACID<br />&diams; BENZYLIDENEACETIC ACID<br />&diams; BETA-PHENYLACRYLIC ACID<br />&diams; 3-PHENYLACRYLIC ACID<br />&diams; BENZENEPROPENOIC ACID<br />&diams; CINNAMYLIC ACID<br />&diams; 2-PROPENOIC ACID, 3-PHENYL-<br />&diams; 3-PHENYL-2-PROPENOIC ACID", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2288,3,25.0,,657
 600-14-6," 2,3-PENTANEDIONE"," &diams; 2,3-PENTANEDIONE<br />&diams; ACETYLPROPIONYL", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2841,3,,,410
 127-91-3, BETA-PINENE," &diams; BETA-PINENE<br />&diams; 2(10)-PINENE<br />&diams; NOPINENE<br />&diams; 6,6-DIMETHYL-2-METHYLENEBICYCLO(3.1.1)HEPTANE<br />&diams; 6,6-DIMETHYL-2-METHYLENENORPINANE<br />&diams; BICYCLO(3.1.1)HEPTANE, 6,6-DIMETHYL-2-METHYLENE-<br />&diams; PSEUDOPINENE<br />&diams; TEREBENTHENE<br />&diams; PINENE, BETA-", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,175.3,175.32,,,,,,,,,,,,,,,,,,,,2903,3,,,1330
 105-53-3, DIETHYL MALONATE," &diams; DIETHYL MALONATE<br />&diams; ETHYL MALONATE<br />&diams; ETHYL METHANEDICARBOXYLATE<br />&diams; ETHYL PROPANEDIOATE<br />&diams; PROPANEDIOIC ACID, DIETHYL ESTER<br />&diams; DIETHYL PROPANEDIOATE<br />&diams; MALONIC ACID, DIETHYL ESTER", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2375,3,,,614
 629-25-4, SODIUM LAURATE," &diams; SODIUM LAURATE<br />&diams; DODECANOIC ACID, SODIUM SALT<br />&diams; SODIUM DODECANOATE<br />&diams; LAURIC ACID, SODIUM SALT"," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> LUBRICANT OR RELEASE AGENT",,,,,,,172.863,,,,,,,,,,,,,,,,,,,,,,,,,,
 81-13-0, D-PANTOTHENYL ALCOHOL," &diams; DEXPANTHENOL<br />&diams; PANTOTHENYL ALCOHOL, D-<br />&diams; ALPHA,GAMMA-DIHYDROXY-N-(3-HYDROXYPROPYL)-BETA,BETA-DIMETHYLBUTYRAMIDE, D-(+)-<br />&diams; PANTOTHENOL, D-<br />&diams; BUTANAMIDE, 2,4-DIHYDROXY-N-(3-HYDROXYPROPYL)-3,3-DIMETHYL-, (R)-<br />&diams; 2,4-DIHYDROXY-N-(3-HYDROXYPROPYL)-3,3-DIMETHYLBUTANAMIDE, (R)-<br />&diams; BUTYRAMIDE, 2,4-DIHYDROXY-N-(3-HYDROXYPROPYL)-3,3-DIMETHYL-, D-(+)-<br />&diams; 2,4-DIHYDROXY-N-(3-HYDROXYPROPYL)-3,3-DIMETHYLBUTYRAMIDE, D-(+)-", NUTRIENT SUPPLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 107-35-7, TAURINE," &diams; TAURINE<br />&diams; 2-AMINOETHANESULFONIC ACID<br />&diams; ETHANESULFONIC ACID, 2-AMINO-", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3813,17,,,1435
 75-18-3, METHYL SULFIDE, &diams; METHYL SULFIDE<br />&diams; 2-THIOPROPANE<br />&diams; THIOBIS(METHANE)<br />&diams; DIMETHYL THIOETHER<br />&diams; 2-THIAPROPANE<br />&diams; METHYL MONOSULFIDE<br />&diams; DIMETHYL MONOSULFIDE, FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2746,3,,,452
 556-61-6, METHYL ISOTHIOCYANATE," &diams; METHYL ISOTHIOCYANATE<br />&diams; ISOTHIOCYANATOMETHANE<br />&diams; ISOTHIOCYANIC ACID, METHYL ESTER<br />&diams; METHYL MUSTARD OIL<br />&diams; METHANE, ISOTHIOCYANATO-<br />&diams; InChI=1S/C2H3NS/c1-3-2-4/h1H3<br />&diams; InChIKey: LGDSHSYDSCRFAB-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4426,23,,,1884
 124-06-1, ETHYL MYRISTATE," &diams; ETHYL MYRISTATE<br />&diams; ETHYL TETRADECANOATE<br />&diams; TETRADECANOIC ACID, ETHYL ESTER<br />&diams; MYRISTIC ACID, ETHYL ESTER", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2445,3,,,38
 139-33-3," EDTA, DISODIUM"," &diams; DISODIUM ETHYLENEDIAMINETETRAACETATE<br />&diams; ACETIC ACID, (ETHYLENEDINITRILO)TETRA-, DISODIUM SALT<br />&diams; DISODIUM EDETATE<br />&diams; EDTA DISODIUM SALT<br />&diams; DISODIUM EDTA, ANHYDROUS<br />&diams; EDETATE DISODIUM<br />&diams; DISODIUM (ETHYLENEDINITRILO)TETRAACETATE<br />&diams; DISODIUM N,N'-1,2-ETHANEDIYLBIS(N-(CARBOXYMETHYL))GLYCINE<br />&diams; GLYCINE, N,N'-1,2-ETHANEDIYLBIS(N-(CARBOXYMETHYL)-, DISODIUM SALT", FLAVORING AGENT OR ADJUVANT,73.1,,,,,,172.12,172.135,175.105,176.15,176.17,177.12,178.101,178.357,,,,,,,,,,,,,," 155.200 ,  169.140 ,  169.150",,,,,
 589-98-0, 3-OCTANOL, &diams; 3-OCTANOL<br />&diams; ETHYL AMYL CARBINOL<br />&diams; AMYL ETHYL CARBINOL<br />&diams; 1-ETHYLHEXANOL, FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,3581,11,,,291
 25152-84-5," 2-TRANS,4-TRANS-DECADIENAL"," &diams; 2,4-DECADIENAL, TRANS,TRANS-<br />&diams; 2-TRANS,4-TRANS-DECADIENAL<br />&diams; 2,4-DECADIENAL, (E,E)-", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3135,4,25.0,,1190
 539-82-2, ETHYL VALERATE," &diams; ETHYL VALERATE<br />&diams; ETHYL PENTANOATE<br />&diams; ETHYL VALERIANATE<br />&diams; PENTANOIC ACID, ETHYL ESTER<br />&diams; VALERIC ACID, ETHYL ESTER"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2462,3,,,30
 80-62-6, METHYL METHACRYLATE," &diams; METHYL METHACRYLATE<br />&diams; METHYL 2-METHYL-2-PROPENOATE<br />&diams; METHACRYLIC ACID METHYL ESTER<br />&diams; 2-PROPENOIC ACID, 2-METHYL-, METHYL ESTER<br />&diams; METHYL 2-METHACRYLATE<br />&diams; 2-(METHOXYCARBONYL)-1-PROPENE", FLAVORING AGENT OR ADJUVANT,,,,,,,175.105,175.3,175.32,175.36,176.17,176.18,177.101,177.103,177.12,177.163,177.183,177.2,177.242,177.2465,,,,,,,,,4002,20,,,1834
 593-08-8, 2-TRIDECANONE, &diams; 2-TRIDECANONE<br />&diams; HENDECYL METHYL KETONE<br />&diams; METHYL UNDECYL KETONE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3388,6,,,298
 100-52-7, BENZALDEHYDE," &diams; BENZALDEHYDE<br />&diams; BENZENE CARBOXALDEHYDE<br />&diams; BENZENECARBONAL<br />&diams; BENZENEMETHYLAL<br />&diams; BENZOIC ALDEHYDE<br />&diams; BITTER ALMOND OIL, SYNTHETIC", FLAVORING AGENT OR ADJUVANT,,,,,,,182.6,,,,,,,,,,,,,,,,,,,,,,2127,3,,,22
 98-92-0, NIACINAMIDE, &diams; NIACINAMIDE<br />&diams; NICOTINAMIDE<br />&diams; 3-PYRIDINECARBOXAMIDE<br />&diams; NICOTINIC ACID AMIDE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> NUTRIENT SUPPLEMENT",,,,,,,184.1535,,,,,,,,,,,,,,,,,,,,," 137.260 ,  137.305 ,  137.350 ,  139.115 ,  139.117 ,  139.122 ,  139.155",,,,,
 579-07-7," 1-PHENYL-1,2-PROPANEDIONE"," &diams; 1-PHENYL-1,2-PROPANEDIONE<br />&diams; ACETYL BENZOYL<br />&diams; BENZOYL METHYL KETONE<br />&diams; METHYL PHENYL DIKETONE<br />&diams; METHYL PHENYL GLYOXAL<br />&diams; PHENYL METHYL DIKETONE<br />&diams; PYRUVOPHENONE<br />&diams; 1,2-PROPANEDIONE, 1-PHENYL-", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3226,4,25.0,,833
 65-23-6, PYRIDOXINE," &diams; PYRIDOXINE<br />&diams; PYRIDOXOL<br />&diams; 3,4-PYRIDINEDIMETHANOL, 5-HYDROXY-6-METHYL-<br />&diams; 5-HYDROXY-6-METHYL-3,4-PYRIDINEDIMETHANOL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.9,,,,,
