GRAS Substance,Other Names,SCOGS Report Number,CAS Reg. No. or other ID CODE,Year of Report,SCOGS Type of Conclusion,NTIS Accession Number
" Magnesium phosphate, tribasic",,60, 7757-87-1,1979,1, PB265509
" Magnesium phosphate, dibasic",,60, 7782-75-4,1979,1, PB265509
 Magnesium oxide,,60, 1309-48-4,1979,1, PB265509
 Magnesium hydroxide,,60, 1309-42-8,1979,1, PB265509
 Magnesium chloride,,60, 7786-30-3,1979,1, PB265509
 Magnesium carbonate,,60, 39409-82-0,1979,1, PB265509
 Tricalcium silicate,,61, 12168-85-3,1979,1, PB301402
 Talc (basic magnesium silicate),,61, 14807-96-6,1979,1, PB301402
 Sodium silicate,,61, 1344-09-8,1979,1, PB301402
 Sodium calcium aluminosilicate,,61, 1344-01-0,1979,1, PB301402
 Sodium aluminosilicate,,61, 1344-00-9,1979,1, PB301402
 Silicon dioxides,,61, 14808-60-7,1979,1, PB301402
 Silica aerogel,,61, 977052-02-0,1979,1, PB301402
 Potassium silicate,,61, 1312-76-1,1979,1, PB301402
 Perlite (filter aid),,61, 93763-70-3,1979,1, PB301402
 Magnesium silicate,,61, 1343-88-0,1979,1, PB301402
 Diatomaceous earth (filter aid),,61, 61790-53-2,1979,1, PB301402
 Calcium silicate,,61, 1344-95-2,1979,1, PB301402
 Aluminum calcium silicate,,61, 1327-39-5,1979,1, PB301402
 Sulfamic acid (packaging),,62, 5329-14-6,1972,1, PB262664
 Zinc hydrosulfite (packaging),,63, 7779-86-4,1975,1, PB262665
 Sodium hydrosulfite (packaging),,63, 7775-14-6,1975,1, PB262665
 Gum guaiac,,64, 9000-29-7,1975,1, PB274474
 Peanut oil (packaging),,65, 8002-03-7,1975,1, PB274475
 Oleic acid (packaging),,65, 112-80-1,1975,1, PB274475
 Linoleic acid,,65, 60-33-3,1975,1, PB274475
 Coconut oil (packaging),,65, 8001-31-8,1975,1, PB274475
" Fish oil, hydrogenated (packaging)",,66, 8016-13-5,1975,1, PB262667
 Manganous sulfate, manganese(II) sulfate,67, 7785-87-7,1979,5, PB301404
 Manganous oxide,,67, 1317-35-7,1979,5, PB301404
 Manganous gluconate, manganese gluconate,67, 6485-39-8,1979,5, PB301404
 Manganous citrate, manganese citrate,67, 10024-66-5,1979,5, PB301404
 Manganous chloride, manganese dichloride,67, 7773-01-5,1979,5, PB301404
 Tall oil (packaging),,68, 8002-26-4,1975,1, PB262666
 Sucrose,,69, 57-50-1,1976,2, PB262668
 Hydrogenated soybean oil,,70, 8016-70-4,1976,1, PB266280
 Sodium formate (packaging),,71, 141-53-7,1976,1, PB266282
 Formic acid (packaging),,71, 64-18-6,1976,1, PB266282
 Ethyl formate,,71, 109-94-4,1976,1, PB266282
 Calcium oxide,,72, 1305-78-8,1975,1, PB254540
 Calcium hydroxide,,72, 1305-62-0,1975,1, PB254540
 Sodium hypophosphite,,73, 7681-53-0,1977,1, PB274476
 Potassium hypophosphite,,73, 7782-87-8,1977,1, PB274476
 Manganous hypophosphite, manganese(II) hypophosphite,73, 10043-84-2,1977,1, PB274476
 Calcium hypophosphite,,73, 7789-79-9,1977,1, PB274476
 Potassium glycerophosphate,,74, 1319-70-6,1976,1, PB265506
 Manganese glycerophosphate,,74, 1320-46-3,1976,1, PB265506
 Magnesium glycerophosphate (packaging),,74, 927-20-8,1976,1, PB265506
 Calcium glycerophosphate (packaging),,74, 27214-00-2,1976,1, PB265506
 Calcium glycerophosphate,,74, 27214-00-2,1976,1, PB265506
 Corn dextrins (packaging),,75, 9004-53-9,1975,1, PB254538
 Dextrins,,75, 9004-53-9,1975,1, PB254538
 Rennet,,76, 9042-08-4,1977,1, PB274668
 Papain,,77, 9001-73-4,1977,1, PB274174
 Zinc gluconate,,78, 4468-02-4,1978,1, PB288675
 Sodium gluconate,,78, 527-07-1,1978,1, PB288675
 Potassium gluconate,,78, 299-27-4,1978,1, PB288675
 Magnesium gluconate,,78, 3632-91-5,1978,1, PB288675
 Thiodipropionic acid,,79, 111-17-1,1979,2, PB80104599
 Sodium propionate,,79, 137-40-6,1979,1, PB80104599
 Propionic acid,,79, 79-09-4,1979,1, PB80104599
 Dilauryl thiodipropionate,,79, 123-28-4,1979,2, PB80104599
 Calcium propionate,,79, 4075-81-4,1979,1, PB80104599
 Adipic acid, hexanedioic acid,80, 124-04-9,1976,1, PB266279
 Pectinic acid,,81, 9046-40-6,1977,1, PB274477
 Pectinates,,81, 9005-59-8,1977,1, PB274477
" Pectin, low acid",,81, There is no ID Code,1977,1, PB274477
" Pectin, high ester",,81, 9000-69-5,1977,1, PB274477
" Pectin, amidated",,81, 56645-02-4,1977,1, PB274477
 Sodium diacetate,,82, 126-96-5,1977,1, PB274670
 Sodium acetate,,82, 977127-84-6,1977,1, PB274670
 Acetic acid,,82, 64-19-7,1977,1, PB274670
 Dextran,,83, 9004-54-0,1975,2, PB254537
 Triethyl citrate,,84, 77-93-0,1977,1, PB280954
 Stearyl citrate,,84, 1337-33-3,1977,1, PB280954
 Sodium citrate,,84, 68-04-2,1977,1, PB280954
 Potassium citrate,,84, 6100-05-6,1977,1, PB280954
 Isopropyl citrate,,84, 39413-05-3,1977,1, PB280954
 Citric acid,,84, 77-92-9,1977,1, PB280954
 Calcium citrate,,84, 813-94-5,1977,1, PB280954
 Ammonium citrate,,84, 7632-50-0,1977,1, PB280954
 Sodium hydroxide,,85, 1310-73-2,1976,1, PB265507
 Potassium hydroxide,,85, 1310-58-3,1976,1, PB265507
 Sodium palmitate (packaging),,86, 408-35-5,1977,1, PB276414
 Sodium oleate (packaging),,86, 143-19-1,1977,1, PB276414
 Corn silk,,87, 977000-79-5,1977,5, PB278158
" Methyl acrylate, polymeric (packaging)"," poly(methyl acrylate), polymethyl acrylate",88, 9003-21-8,1977,1, PB276415
" Methyl acrylate, monomeric (packaging)",,88, 96-33-3,1977,1, PB276415
" Ethyl acrylate, polymeric (packaging)"," poly(ethyl acrylate), polyethyl acrylate",88, 9003-32-1,1977,1, PB276415
" Ethyl acrylate, monomeric (packaging)",,88, 140-88-5,1977,1, PB276415
 Caffeine,,89, 58-08-2,1978," 3,4", PB283441
 Clay (kaolin) (packaging),,90, 1332-58-7,1977,1, PB276416
 Bentonite,,90, 1302-78-9,1977,1, PB276416
 Lard oil (packaging),,91, 8016-28-2,1976,1, PB270368
 Lard (packaging),,91, 61789-99-9,1976,1, PB270368
 Biotin,,92, 58-85-5,1978,1, PB281421
 D- or DL- Sodium pantothenate,,93, 867-81-2,1978,1, PB288672
 D-Pantothenyl alcohol,,93, 81-13-0,1978,1, PB288672
 D- or DL- Calcium pantothenate,,93, 137-08-6,1978,1, PB288672
 Starter distillate,,94, 977019-27-4,1980,1, PB80178668
 Diacetyl,,94, 431-03-8,1980,1, PB80178668
 Vitamin D3 (cholecalciferol),,95, 67-97-0,1978,2, PB293099
 Vitamin D2 (ergocalciferol),,95, 50-14-6,1978,2, PB293099
 Sodium caseinate,,96, 9005-46-3,1979,1, PB301401
 Casein,,96, 9000-71-9,1979,1, PB301401
 Calcium caseinate,,96, 9005-43-0,1979,1, PB301401
 Nickel (elemental),,97, 7440-02-0,1979,1, PB80104623
 Cuprous iodide, copper(1+) iodide,98, 7681-65-4,1979,1, PB301400
 Copper (cupric) sulfate," copper(2+) sulfate, cupric sulfate",98, 7758-98-7,1979,1, PB301400
 Copper (cupric) gluconate," copper(2+) gluconate, cupric gluconate",98, 7440-50-8,1979,1, PB301400
 Hydrochloric acid,,99, 7647-01-0,1979,1, PB301399
 Pyridoxine hydrochloride,,100, 58-56-0,1977,1, PB275340
 Pyridoxine,,100, 65-23-6,1977,1, PB275340
 Soy protein isolate,,101, 977076-84-8,1979,1, PB300717
 Sodium chloride,,102, 7647-14-5,1979," 1 (dry food packaging),  4 (direct additive)", PB298139
 Potassium chloride,,102, 7447-40-7,1979,1, PB298139
 Urea,,103, 57-13-6,1978,1, PB288673
 Vitamin B12 (cyanocobalamin),,104, 68-19-9,1978,1, PB289922
" Lecithin, hydrogen peroxide bleached",,106, 92128-87-5,1979,1, PB301405
 Lecithin,,106, 8002-43-5,1979,1, PB301405
 L(+)-tartaric acid,,107, 87-69-4,1979,1, PB301403
 L(+)-sodium tartrate,,107, 868-18-8,1979,1, PB301403
 L(+)-sodium potassium tartrate,,107, 304-59-6,1979,1, PB301403
 L(+)-potassium acid tartrate,,107, 868-14-4,1979,1, PB301403
 Niacinamide (nicotinamide),,108, 98-92-0,1979,1, PB80112030
 Niacin (nicotinic acid),,108, 59-67-6,1979,1, PB80112030
 Thiamine mononitrate,,109, 532-43-4,1978,1, PB288674
 Thiamine hydrochloride,,109, 67-03-8,1978,1, PB288674
 Carotene (beta-carotene),,111, 7235-40-7,1979,1, PB80119837
 Helium gas,,112, 7440-59-7,1979,1, PB80112022
 Hydrogen peroxide,,113, 7722-84-1,1979,2, PB80104607
 Riboflavin-5'-phosphate,,114, 146-17-8,1979,1, PB301406
 Riboflavin,,114, 83-88-5,1979,1, PB301406
 Wheat Starch,,115, 977052-26-8,1979,1, PB80128804
 Waxy Maize Starch," cornstarch, waxy",115, 977050-52-4,1979,1, PB80128804
 Tapioca Starch,,115, 977002-81-5,1979,1, PB80128804
 Succinyl Distarch Glycerol,,115, 977043-59-6,1979,4, PB80128804
" Starch, Sodium Hypochlorite oxidized",,115, 977170-89-0,1979,3, PB80128804
 Starch Sodium Succinate,,115, 37231-92-8,1979,3, PB80128804
 Starch Sodium Octenyl Succinate,,115, 66829-29-6,1979,3, PB80128804
 Starch Aluminum Octenyl Succinate,,115, 9087-61-0,1979,3, PB80128804
 Starch Acetate,,115, 9045-28-7,1979,2, PB80128804
 Sodium Hydroxide Gelatinized Starch," starch, gelatinized",115, 977102-48-9,1979,5, PB80128804
 Rice Starch,,115, 977000-08-0,1979,1, PB80128804
 Pregelatinized starch,,115, 977050-93-3,1979,1, PB80128804
 Potato starch,,115, 977000-07-9,1979,1, PB80128804
 Phosphated Distarch Phosphate,,115, 977043-58-5,1979,2, PB80128804
 Monostarch Phosphate,,115, 11120-02-8,1979,2, PB80128804
 Milo Starch, grain sorghum starch,115, 977027-92-1,1979,1, PB80128804
" Hydroxypropyl Starch, oxidized",,115, 68412-86-2,1979,3, PB80128804
 Hydroxypropyl Starch,,115, 9049-76-7,1979,3, PB80128804
 Hydroxypropyl Distarch Phosphate,,115, 53124-00-8,1979,3, PB80128804
 Hydroxypropyl Distarch Glycerol,,115, 59419-60-2,1979,4, PB80128804
 High Amylose Cornstarch,,115, 977050-51-3,1979,1, PB80128804
 Distarch Phosphate,,115, 55963-33-2,1979,2, PB80128804
 Distarch Oxypropanol,,115, 977043-57-4,1979,3, PB80128804
 Distarch Glycerol,,115, 58944-89-1,1979,4, PB80128804
 Cornstarch,,115, 977050-51-3,1979,1, PB80128804
 Bleached Starch,,115, 977075-42-5,1979,1, PB80128804
 Arrowroot Starch,,115, 977000-09-1,1979,1, PB80128804
 Acid Modified Starch,,115, 65996-63-6,1979,1, PB80128804
 Acetylated Distarch Oxypropanol,,115, 977120-10-7,1979,3, PB80128804
 Acetylated Distarch Phosphate,,115, 68130-14-3,1979,2, PB80128804
 Acetylated Distarch Glycerol,,115, 53123-84-5,1979,4, PB80128804
 Acetylated Distarch Adipate,,115, 63798-35-6,1979,2, PB80128804
 D(-)-Lactic acid,,116, 10326-41-7,1978," 1, 4", PB283713
 Lactic acid,,116, 598-82-3,1978," 1, 4", PB283713
 L(+)-lactic acid,,116, 79-33-4,1978,1, PB283713
 L(+)-calcium lactate,,116, 28305-25-1,1978,1, PB283713
 Calcium Lactate,,116, 814-80-2,1978,1, PB283713
 Carbon dioxide,,117, 124-38-9,1979,1, PB80104615
 Vitamin A palmitate,,118, 79-81-2,1980,2, PB80178650
 Vitamin A acetate,,118, 127-47-9,1980,2, PB80178650
 Vitamin A,,118, 68-26-8,1980,2, PB80178650
 Monosodium L-glutamate, MSG, 37a, 142-47-2,1980,2, PB80178635
 Monopotassium L-glutamate,, 37a, 19473-49-5,1980,2, PB80178635
 Monoammonium L-glutamate,, 37a, 7558-63-6,1980,2, PB80178635
 L-Glutamic acid hydrochloride,, 37a, 138-15-8,1980,2, PB80178635
 L-Glutamic acid,, 37a, 56-86-0,1980,2, PB80178635
 Yeast autolyzates,, 37b, 977046-75-5,1980,1, PB80178643
 Soy sauces,, 37b, 8031-68-3,1980,1, PB80178643
 Enzymatically hydrolyzed protein,, 37b, There is no ID Code,1980,1, PB80178643
 Acid hydrolyzed proteins,, 37b, There is no ID Code,1980,1, PB80178643
 Enzymatically hydrolyzed casein,, 37b, 9000-71-9,1980,1, PB80178643
 Beeswax (yellow or white),, 46a, 8006-40-4,1975,1, PB262656
 Japan wax (packaging),, 46b, 8001-39-6,1975,5, PB262657
 Iron - Report on Clinical Research Protocols to Elucidate The Possible Hazards of Increased Iron Enrichment of Cereal Products,, none assigned by NTIS, 7439-89-6,1972, There is no conclusion type.,
 Iron - Report on Bioavailability and Utilization of Iron,, PB 224 122/AS, 7439-89-6,1973, There is no conclusion type., PB80178676
 Dietary Iron,, PB-218 836, 7439-89-6,1972, There is no conclusion type., PB80178676
